Energy [MeV],norm_phi_n_mu_WS,norm_phi_n_mu_MK1,norm_phi_n_mu_avg,norm_phi_n_alpha_WS,norm_phi_n_alpha_MK1,norm_phi_n_alpha_avg
4.47216E-11,3.58682E-07,7.91044E-07,5.74863E-07,6.62999E-07,1.50142E-06,1.08221E-06
2.42063E-10,4.95611E-06,1.59703E-05,1.04632E-05,8.70221E-06,2.37521E-05,1.62271E-05
3.5459E-10,4.18784E-06,9.815E-06,7.00142E-06,2.05332E-05,4.30066E-05,3.17699E-05
5.19428E-10,2.22103E-05,3.57745E-05,2.89924E-05,4.28509E-05,8.98942E-05,6.63725E-05
7.60893E-10,2.69465E-05,0.000114257,7.06019E-05,9.89428E-05,0.00019593,0.000147436
1.11461E-09,3.70447E-05,0.000432872,0.000234958,0.000206228,0.000451978,0.000329103
1.63275E-09,0.00012424,0.000358388,0.000241314,0.000445812,0.000999778,0.000722795
2.39176E-09,0.00046629,0.001230815,0.000848552,0.000974547,0.002161036,0.001567792
3.50361E-09,0.001173681,0.004508485,0.002841083,0.002063009,0.004569379,0.003316194
5.13233E-09,0.001708882,0.005075148,0.003392015,0.004347864,0.009613785,0.006980824
7.51818E-09,0.003249529,0.01016056,0.006705044,0.008830811,0.019879918,0.014355364
1.10131E-08,0.006808633,0.021726073,0.014267353,0.017383656,0.039483064,0.02843336
1.61328E-08,0.011674528,0.041042433,0.02635848,0.032195354,0.074207509,0.053201432
2.36324E-08,0.022101971,0.076345845,0.049223908,0.05516047,0.126613528,0.090886999
3.46183E-08,0.03193924,0.119345364,0.075642302,0.083713193,0.189831276,0.136772234
5.07112E-08,0.042362784,0.150646342,0.096504563,0.107283827,0.23600605,0.171644939
7.42852E-08,0.043971306,0.153387961,0.098679633,0.109144787,0.224353199,0.166748993
1.08818E-07,0.036312466,0.09027237,0.063292418,0.084294332,0.152064937,0.118179635
1.59404E-07,0.029106996,0.048930921,0.039018959,0.063134197,0.087108478,0.075121338
2.33505E-07,0.026462712,0.029790777,0.028126745,0.053824008,0.056699189,0.055261599
3.42054E-07,0.023285991,0.024626554,0.023956272,0.048522653,0.045587812,0.047055233
4.69117E-07,0.023075969,0.023087691,0.02308183,0.046884937,0.042693241,0.044789089
5.76429E-07,0.024040951,0.02239886,0.023219906,0.046351153,0.041300458,0.043825805
6.53179E-07,0.026270949,0.023712525,0.024991737,0.046142647,0.040645579,0.043394113
7.54346E-07,0.023068469,0.022604686,0.022836578,0.046209585,0.04023267,0.043221127
8.54786E-07,0.025240746,0.021334426,0.023287586,0.046196185,0.039902207,0.043049196
9.93119E-07,0.024588985,0.021588294,0.023088639,0.04618759,0.03935266,0.042770125
1.27519E-06,0.024139542,0.019203624,0.021671583,0.046185902,0.038946399,0.04256615
1.63738E-06,0.026772015,0.019627364,0.02319969,0.046343119,0.038178547,0.042260833
2.10243E-06,0.024243229,0.021422925,0.022833077,0.046570016,0.038145346,0.042357681
2.69958E-06,0.027031857,0.020186519,0.023609188,0.048052071,0.038297386,0.043174729
3.46632E-06,0.028197984,0.017888685,0.023043334,0.046682942,0.037310203,0.041996573
4.45085E-06,0.026057435,0.025459928,0.025758682,0.046931968,0.03717093,0.042051449
5.71501E-06,0.030860953,0.020645227,0.02575309,0.047221333,0.037417093,0.042319213
7.33822E-06,0.030947711,0.025207025,0.028077368,0.047816047,0.037055119,0.042435583
9.42244E-06,0.029225598,0.01942531,0.024325454,0.048103668,0.037222969,0.042663319
1.20987E-05,0.031204881,0.018147509,0.024676195,0.048346055,0.037046705,0.04269638
1.5535E-05,0.028860674,0.019510901,0.024185788,0.048529738,0.036983951,0.042756845
1.99474E-05,0.030864862,0.020248092,0.025556477,0.048781272,0.036941081,0.042861176
2.56129E-05,0.033393693,0.022958666,0.02817618,0.048935354,0.036833935,0.042884644
3.28876E-05,0.031712422,0.019554024,0.025633223,0.04907422,0.036655708,0.042864964
4.22285E-05,0.036396333,0.023965494,0.030180914,0.049238716,0.036256563,0.04274764
5.42225E-05,0.041362324,0.021779491,0.031570907,0.049453445,0.036074336,0.04276389
6.96231E-05,0.035815728,0.030268492,0.03304211,0.049408218,0.036059487,0.042733852
8.93978E-05,0.03983325,0.021956596,0.030894923,0.0496316,0.035718831,0.042675216
0.000114789,0.034239458,0.019573145,0.026906302,0.049713595,0.035867539,0.042790567
0.000147392,0.036136848,0.019268949,0.027702898,0.04981605,0.035483637,0.042649843
0.000189255,0.036917061,0.021021768,0.028969414,0.049768859,0.034838488,0.042303673
0.000243008,0.042326884,0.020240108,0.031283496,0.049987483,0.034579129,0.042283306
0.000312029,0.044279049,0.019708571,0.03199381,0.050056425,0.034407699,0.042232062
0.000400653,0.051121389,0.020740856,0.035931122,0.050040715,0.033870303,0.041955509
0.000514449,0.046442847,0.020246371,0.033344609,0.050286598,0.033662534,0.041974566
0.000660565,0.044722987,0.021325327,0.033024157,0.050516162,0.032969168,0.041742665
0.000848182,0.047297515,0.027720826,0.037509171,0.050398563,0.032147381,0.041272972
0.001089088,0.047747393,0.019589997,0.033668695,0.050729226,0.031380859,0.041055043
0.001297373,0.046951256,0.024739867,0.035845562,0.05212191,0.032375857,0.042248884
0.001433817,0.049854622,0.031199302,0.040526962,0.052215107,0.03235608,0.042285594
0.001545487,0.049329981,0.02217993,0.035754955,0.052390834,0.032306522,0.042348678
0.001624727,0.051934342,0.022800304,0.037367323,0.052022232,0.031872441,0.041947336
0.001751271,0.053669903,0.020425906,0.037047905,0.052238969,0.031872099,0.042055534
0.00193545,0.049151549,0.022478318,0.035814934,0.053072872,0.032238984,0.042655928
0.002139001,0.049563151,0.022191321,0.035877236,0.052468612,0.031745384,0.042106998
0.002363964,0.052191783,0.022755523,0.037473653,0.05327543,0.032246868,0.042761149
0.002548084,0.053362893,0.032442572,0.042902732,0.05361452,0.031721232,0.042667876
0.002678728,0.049123402,0.02434845,0.036735926,0.053425843,0.032748787,0.043087315
0.002804405,0.04700513,0.017524197,0.032264663,0.053583126,0.032317551,0.042950339
0.002948187,0.051110046,0.029123367,0.040116706,0.053476578,0.032548751,0.043012664
0.00319102,0.052644477,0.024440476,0.038542476,0.053916207,0.031855948,0.042886078
0.003526626,0.052540677,0.028064581,0.040302629,0.054386224,0.033134585,0.043760405
0.003897522,0.053930982,0.020583156,0.037257069,0.05395235,0.033149071,0.04355071
0.003897522,0.051238528,0.01899399,0.035116259,0.05368344,0.032902771,0.043293106
0.003897522,0.052034073,0.022308855,0.037171464,0.053874426,0.032569942,0.043222184
0.003897522,0.050124755,0.024111049,0.037117902,0.053632879,0.03316172,0.043397299
0.003897522,0.05932187,0.022395684,0.040858777,0.056759335,0.034645577,0.045702456
0.003897522,0.053338088,0.032208864,0.042773476,0.04954054,0.03621804,0.04287929
0.006671471,0.059050649,0.023210818,0.041130734,0.054451327,0.036153225,0.045302276
0.007559765,0.057416866,0.021379656,0.039398261,0.053609547,0.034714895,0.044162221
0.008566339,0.055332026,0.017346648,0.036339337,0.052345862,0.029013244,0.040679553
0.009706944,0.062907672,0.021445855,0.042176764,0.055420663,0.031096259,0.043258461
0.01099941,0.063473958,0.028823945,0.046148952,0.056998616,0.031059205,0.04402891
0.012463949,0.067894456,0.023553108,0.045723782,0.056801849,0.030809547,0.043805698
0.014123506,0.070710714,0.022450395,0.046580554,0.058005601,0.030728526,0.044367064
0.016004032,0.069786939,0.027769125,0.048778032,0.056570242,0.030396578,0.04348341
0.01813492,0.074683726,0.02715129,0.050917508,0.058353216,0.030458244,0.04440573
0.020294276,0.086787222,0.024480131,0.055633676,0.059579799,0.02994934,0.044764569
0.021603161,0.08101284,0.023238262,0.052125551,0.060829818,0.029597959,0.045213889
0.022710779,0.080685668,0.025178838,0.052932253,0.060125842,0.029408843,0.044767343
0.023875185,0.095141827,0.026152165,0.060646996,0.061527649,0.030646803,0.046087226
0.024479588,0.090918543,0.03853601,0.064727277,0.062372434,0.035247033,0.048809733
0.025415007,0.103262365,0.056805031,0.080033698,0.067335193,0.056733168,0.062034181
0.027054126,0.082771917,0.02606608,0.054418998,0.058747161,0.040485722,0.049616442
0.029899432,0.06811889,0.019365715,0.043742303,0.049778663,0.023295692,0.036537178
0.033044013,0.067512005,0.023378509,0.045445257,0.047118821,0.02430083,0.035709825
0.034738235,0.043410967,0.028086358,0.035748662,0.03276241,0.020553326,0.026657868
0.035617618,0.065512967,0.018136865,0.041824916,0.033424568,0.021810786,0.027617677
0.038391642,0.071267653,0.024081826,0.047674739,0.042782385,0.024918759,0.033850572
0.043503454,0.079288699,0.029674792,0.054481745,0.052940988,0.029512309,0.041226648
0.049295887,0.088935401,0.03393675,0.061436075,0.061292387,0.032956965,0.047124676
0.054480388,0.075684389,0.024923159,0.050303774,0.04459,0.024716549,0.034653274
0.057994075,0.081279302,0.035984394,0.058631848,0.047626156,0.027884898,0.037755527
0.060967498,0.08838808,0.033879779,0.06113393,0.055487645,0.029777555,0.0426326
0.064899563,0.089088206,0.05459889,0.071843548,0.055685037,0.030299344,0.042992191
0.07172507,0.095259684,0.164028577,0.129644131,0.058249957,0.037362827,0.047806392
0.081275109,0.090987968,0.032720982,0.061854475,0.052137006,0.030677894,0.04140745
0.092096764,0.080094577,0.028499661,0.054297119,0.040041547,0.021969558,0.031005552
0.104359354,0.098521899,0.034849941,0.06668592,0.052398148,0.027953208,0.040175678
0.1139024,0.101794355,0.06260401,0.082199183,0.056571842,0.030540882,0.043556362
0.119742088,0.095373014,0.041172316,0.068272665,0.046381105,0.026394977,0.036388041
0.125881152,0.120547569,0.04269258,0.081620075,0.06034394,0.034506109,0.047425025
0.132335631,0.132998619,0.045625556,0.089312088,0.059469502,0.033789495,0.046629499
0.139120537,0.100760402,0.04297881,0.071869606,0.050290179,0.028458167,0.039374173
0.146253291,0.087767223,0.036053318,0.061910271,0.041523101,0.021568511,0.031545806
0.153751955,0.108060028,0.043673666,0.075866847,0.044137589,0.023507037,0.033822313
0.159627033,0.102243244,0.065957873,0.084100559,0.040240415,0.02378279,0.032011603
0.163668217,0.136132175,0.046271924,0.09120205,0.047092353,0.027378577,0.037235465
0.167811392,0.110999221,0.074852943,0.092926082,0.044602172,0.025364848,0.03498351
0.172059555,0.099564696,0.053665337,0.076615016,0.039723913,0.020397176,0.030060545
0.178634177,0.112547479,0.056368853,0.084458166,0.037241289,0.024873229,0.031057259
0.187792802,0.081681819,0.034406786,0.058044302,0.031228119,0.018775597,0.025001858
0.197421304,0.08762413,0.044973091,0.066298611,0.031845319,0.017702597,0.024773958
0.207543137,0.089482951,0.045885607,0.067684279,0.032819088,0.020609132,0.02671411
0.218184301,0.091972942,0.064053107,0.078013025,0.03506681,0.02205955,0.02856318
0.229371315,0.100905688,0.046218516,0.073562102,0.03713906,0.020966549,0.029052805
0.241131153,0.103219302,0.06429306,0.083756181,0.038927722,0.023663559,0.03129564
0.253493779,0.108102044,0.05088745,0.079494747,0.03943812,0.023352478,0.031395299
0.266490716,0.130326477,0.118338715,0.124332596,0.043345708,0.02586555,0.034605629
0.276673885,0.113896407,0.085708823,0.099802615,0.038620889,0.021015345,0.029818117
0.283677833,0.10627576,0.072019137,0.089147449,0.03476915,0.019604921,0.027187036
0.290859264,0.111480392,0.054006687,0.082743539,0.035438871,0.019813864,0.027626368
0.298222699,0.139928682,0.078727519,0.109328101,0.038274507,0.022824276,0.030549392
0.305772115,0.155763226,0.129425282,0.142594254,0.039210516,0.024577884,0.0318942
0.313512502,0.125480035,0.086969038,0.106224537,0.038120129,0.024120513,0.031120321
0.325492775,0.097872872,0.05961174,0.078742306,0.035028794,0.019737934,0.027383364
0.342181566,0.107322566,0.073872538,0.090597552,0.03603165,0.022945523,0.029488587
0.359725582,0.078644949,0.076518343,0.077581646,0.028083428,0.019065409,0.023574418
0.378168826,0.081464975,0.057060065,0.06926252,0.024589891,0.017119903,0.020854897
0.397557756,0.080238226,0.054207473,0.067222849,0.024025376,0.015394863,0.01971012
0.417940879,0.065791073,0.048757639,0.057274356,0.021076819,0.014239887,0.017658353
0.439369177,0.068954853,0.046622685,0.057788769,0.020298419,0.014526443,0.017412431
0.461896147,0.094826518,0.08364061,0.089233564,0.030927765,0.020725787,0.025826776
0.485578252,0.114259021,0.096939081,0.105599051,0.041376574,0.025783324,0.033579949
0.504133143,0.13214169,0.081347334,0.106744512,0.045334234,0.028936121,0.037135178
0.51689513,0.121164055,0.068734747,0.094949401,0.045642099,0.028775438,0.037208769
0.529980584,0.110253566,0.088084665,0.099169115,0.042711666,0.028078875,0.03539527
0.543397043,0.124352319,0.087545265,0.105948792,0.048015526,0.029628408,0.038821967
0.564161196,0.109221435,0.105198033,0.107209734,0.041662309,0.026344268,0.034003288
0.593086653,0.137977338,0.12834549,0.133161414,0.047606051,0.029350162,0.038478107
0.623495168,0.119676891,0.158047283,0.138862087,0.046839588,0.03156523,0.039202409
0.655462174,0.123916676,0.105717641,0.114817159,0.042554841,0.028729368,0.035642105
0.689068165,0.115284647,0.129314684,0.122299665,0.043503264,0.028886785,0.036195024
0.72439761,0.107936641,0.11516627,0.111551456,0.040567708,0.028299191,0.034433449
0.761538495,0.103100858,0.110536992,0.106818925,0.037581496,0.025361644,0.03147157
0.800583319,0.102441322,0.092182747,0.097312034,0.031271603,0.02038481,0.025828206
0.841629995,0.081707395,0.100049005,0.0908782,0.026217243,0.017017599,0.021617421
0.884781025,0.074512293,0.089176956,0.081844624,0.022657894,0.014527776,0.018592835
0.930144823,0.064684276,0.078544857,0.071614566,0.017199827,0.011091824,0.014145825
0.95765775,0.064393187,0.107376619,0.085884903,0.014987562,0.009695827,0.012341694
0.969703181,0.055649959,0.056921411,0.056285685,0.013585209,0.008895589,0.011240399
0.990134677,0.057160657,0.082146488,0.069653573,0.012782497,0.009068049,0.010925273
1.027968842,0.056486612,0.087937789,0.0722122,0.014300171,0.010100642,0.012200407
1.080672263,0.066162725,0.091561567,0.078862146,0.021142159,0.014818132,0.017980145
1.136079955,0.074343307,0.08573071,0.080037009,0.027562742,0.018682692,0.023122717
1.179492839,0.084145241,0.097309735,0.090727488,0.029910717,0.020264577,0.025087647
1.209350547,0.073447067,0.109484381,0.091465724,0.02819829,0.020017231,0.024107761
1.25556255,0.074538288,0.108809859,0.091674074,0.027993275,0.01884095,0.023417113
1.319937545,0.051346112,0.126146539,0.088746325,0.019269856,0.0137138,0.016491828
1.38761137,0.065421303,0.143256053,0.104338678,0.028694125,0.020279016,0.024486571
1.45875911,0.07104842,0.120648849,0.095848635,0.028915076,0.019653936,0.024284506
1.5145017,0.053344443,0.119024716,0.08618458,0.026271155,0.018837688,0.022554422
1.552838646,0.054657016,0.085919278,0.070288147,0.025081776,0.015918753,0.020500265
1.592150528,0.055606549,0.094446289,0.075026419,0.022178523,0.015366496,0.018772509
1.632457478,0.043015612,0.098661021,0.070838316,0.018930516,0.013215478,0.016072997
1.694835344,0.055250117,0.105464851,0.080357484,0.024765953,0.017184202,0.020975077
1.781728252,0.057905477,0.08263709,0.070271283,0.030050315,0.019680076,0.024865195
1.84981046,0.038113133,0.135218137,0.086665635,0.016512623,0.010901668,0.013707145
1.896641806,0.03763047,0.081181003,0.059405736,0.017238657,0.013197246,0.015217951
1.944658057,0.038558258,0.087904798,0.063231528,0.019707145,0.013987168,0.016847156
1.993889216,0.052569215,0.074026011,0.063297613,0.022574274,0.016661862,0.019618068
2.070078125,0.051280827,0.100173901,0.075727364,0.026514853,0.01843744,0.022476147
2.176209971,0.056360397,0.090788795,0.073574596,0.029876478,0.022896294,0.026386386
2.250011544,0.060945147,0.110258118,0.085601632,0.038848839,0.029027744,0.033938291
2.287791087,0.057279134,0.104693986,0.08098656,0.038997789,0.030339786,0.034668787
2.326198888,0.077163212,0.102378175,0.089770693,0.055310897,0.040218066,0.047764482
2.355454667,0.060252001,0.148437932,0.104344966,0.06150676,0.046700365,0.054103562
2.375204004,0.06635319,0.173656165,0.120004677,0.048112779,0.031931834,0.040022306
2.405082135,0.059108948,0.087265388,0.073187168,0.040433852,0.031257025,0.035845438
2.445464796,0.058804043,0.096815263,0.077809653,0.03048779,0.020508024,0.025497907
2.528394874,0.051410495,0.094806064,0.073108279,0.018818625,0.013536701,0.016177663
2.658029164,0.045549102,0.088102932,0.066826017,0.016715016,0.012807785,0.014761401
2.794311683,0.03395486,0.081340957,0.057647908,0.013631569,0.010199895,0.011915732
2.937577011,0.034656002,0.080919998,0.057788,0.011352961,0.00892874,0.01014085
3.049826715,0.031949746,0.186200625,0.109075185,0.009375166,0.006547249,0.007961207
3.127035734,0.03024994,0.076941961,0.05359595,0.007047919,0.005189608,0.006118764
3.206199545,0.026992968,0.079569159,0.053281063,0.00470637,0.003435762,0.004071066
3.28736326,0.018192216,0.073760392,0.045976304,0.00351559,0.002551593,0.003033591
3.412978447,0.02150691,0.058041363,0.039774137,0.002875136,0.002172031,0.002523583
3.587963889,0.020788271,0.062589211,0.041688741,0.00263176,0.001778927,0.002205343
3.771921162,0.015691952,0.05530354,0.035497746,0.002488957,0.001955476,0.002222216
3.96531563,0.019228017,0.058454794,0.038841406,0.003072191,0.002379866,0.002726029
4.168622173,0.022448083,0.058644886,0.040546484,0.00297726,0.002286352,0.002631806
4.382350446,0.01516663,0.048431327,0.031798978,0.001725817,0.001140039,0.001432928
4.549809581,0.016465909,0.052378872,0.034422391,0.001891217,0.001400597,0.001645907
4.664990529,0.013904451,0.059179703,0.036542077,0.001935913,0.001489125,0.001712519
4.783086269,0.018682315,0.052554945,0.03561863,0.001754268,0.001258986,0.001506627
4.904166951,0.016168397,0.055975953,0.036072175,0.001293493,0.001197004,0.001245248
5.091563742,0.013119147,0.070990813,0.04205498,0.001063793,0.000946029,0.001004911
5.352617102,0.013585069,0.03999328,0.026789174,0.001182202,0.000939689,0.001060946
5.627051478,0.011244449,0.031708935,0.021476692,0.000627931,0.000549519,0.000588725
5.842068617,0.010349025,0.034073517,0.022211271,0.000611966,0.00047769,0.000544828
5.989961984,0.010933088,0.035860508,0.023396798,0.000543724,0.000255429,0.000399577
6.141600256,0.010634862,0.039546229,0.025090546,0.000587996,0.000620583,0.000604289
6.297073091,0.011647414,0.040056122,0.025851768,0.000481159,0.000326097,0.000403628
6.456485607,0.010354754,0.02924758,0.019801167,0.000421309,0.000455672,0.00043849
6.564983072,0.009926494,0.045084234,0.027505364,0.000421887,0.000467632,0.000444759
6.619932323,0.008353933,0.036848335,0.022601134,0.000386504,0.000364173,0.000375338
6.675341963,0.005683164,0.041647596,0.02366538,0.000217273,0.000163325,0.000190299
6.787514681,0.007061995,0.08879691,0.047929453,0.000249622,0.000159979,0.0002048
6.959341432,0.011292596,0.029288577,0.020290586,0.000280851,0.000356017,0.000318434
7.135517598,0.014046274,0.039022346,0.02653431,0.000231814,2.02484E-05,0.000126031
7.31615326,0.008400792,0.027326854,0.017863823,0.000133061,0.000137446,0.000135254
7.501363742,0.006109884,0.031581192,0.018845538,0.000140232,1.36403E-05,7.69361E-05
7.69126394,0.006245878,0.025036721,0.0156413,8.80342E-05,1.3351E-05,5.06926E-05
7.885968779,0.007951474,0.041945354,0.024948414,5.75574E-05,0.000108386,8.29719E-05
8.085603075,0.007230211,0.02292238,0.015076295,0.000100618,1.58426E-06,5.11011E-05
8.290292278,0.005471473,0.01839314,0.011932307,5.74482E-05,3.29853E-05,4.52168E-05
8.500161063,0.006070137,0.026061184,0.01606566,3.19034E-05,4.03471E-05,3.61253E-05
8.715344004,0.006551382,0.025929392,0.016240387,2.42747E-05,4.3735E-05,3.40049E-05
8.935971549,0.007890751,0.022804583,0.015347667,2.63336E-05,1.23101E-06,1.37823E-05
9.162188836,0.005576197,0.024413398,0.014994797,2.47971E-05,3.8039E-06,1.43005E-05
9.394131178,0.009218432,0.01868276,0.013950596,9.86774E-06,2.51969E-05,1.75323E-05
9.631942467,0.00516077,0.015773862,0.010467316,9.65873E-06,6.96264E-06,8.31069E-06
9.875778149,0.007304166,0.018134432,0.012719299,3.42605E-06,1.59231E-05,9.67456E-06
10.12580851,0.004642592,0.022276808,0.0134597,6.80416E-07,0,3.40208E-07
10.38213926,0.003703934,0.020413607,0.01205877,5.59081E-07,0,2.79541E-07
10.64491854,0.006551208,0.047829814,0.027190511,1.03136E-05,0,5.15679E-06
10.9143971,0.004602269,0.017795537,0.011198903,0,0,0
11.19072556,0.006305697,0.018330411,0.012318054,0,0,0
11.47400394,0.004062812,0.014038419,0.009050616,0,0,0
11.76448039,0.004698288,0.019153374,0.011925831,0,0,0
12.06230803,0.005266718,0.014702826,0.009984772,0,0,0
12.36763376,0.007564163,0.015093153,0.011328658,0,0,0
12.68070947,0.006273786,0.019100196,0.012686991,0,0,0
13.00173393,0.009056703,0.016704011,0.012880357,0,0,0
13.33090839,0.010268313,0.024867616,0.017567964,0,0,0
13.66838226,0.005352701,0.030072433,0.017712567,0,0,0
14.01440492,0.004624985,0.018128645,0.011376815,0,0,0
14.36917764,0.004858455,0.064872686,0.03486557,0,0,0
14.73294856,0.004512769,0.025826875,0.015169822,0,0,0
15.1059202,0.005752743,0.021371352,0.013562048,0,0,0
15.48829007,0.006475421,0.015059976,0.010767699,0,0,0
15.88035945,0.004614865,0.02140222,0.013008543,0,0,0
16.28237774,0.006083314,0.017401759,0.011742537,0,0,0
16.69459557,0.004531117,0.016265583,0.01039835,0,0,0
17.11721296,0.004013995,0.018200195,0.011107095,0,0,0
17.55052869,0.003919836,0.019121157,0.011520497,0,0,0
17.99484403,0.003402513,0.017517273,0.010459893,0,0,0
18.45040837,0.004513606,0.03373094,0.019122273,0,0,0
18.91747236,0.003523601,0.018853922,0.011188762,0,0,0
19.39633477,0.004670623,0.014396743,0.009533683,0,0,0
19.81933399,0.003908283,0.015703841,0.009806062,0,0,0
20.88203582,0.004633609,0.022487608,0.013560608,0,0,0
22.76452096,0.004450049,0.016358205,0.010404127,0,0,0
24.81670953,0.003645791,0.016942001,0.010293896,0,0,0
27.05389981,0.005025607,0.014892782,0.009959194,0,0,0
29.49276971,0.004054746,0.01602907,0.010041908,0,0,0
32.15149941,0.005004129,0.021193127,0.013098628,0,0,0
35.0499107,0.005002127,0.021419971,0.013211049,0,0,0
38.20961031,0.004702705,0.017394079,0.011048392,0,0,0
41.65415101,0.004223443,0.019560767,0.011892105,0,0,0
45.4092111,0.005836752,0.015445298,0.010641025,0,0,0
49.50278519,0.004593432,0.021866229,0.013229831,0,0,0
53.96538931,0.003953075,0.016774483,0.010363779,0,0,0
58.83028905,0.004002732,0.022224648,0.01311369,0,0,0
64.13375435,0.004279534,0.022812779,0.013546157,0,0,0
69.91531937,0.00368104,0.018131013,0.010906027,0,0,0
76.21808248,0.003785111,0.016444523,0.010114817,0,0,0
83.08903412,0.003987155,0.02043197,0.012209563,0,0,0
90.57939466,0.002845526,0.022608464,0.012726995,0,0,0
98.74498328,0.004393111,0.015013179,0.009703145,0,0,0
107.646687,0.00276672,0.017104292,0.009935506,0,0,0
117.3508978,0.002616918,0.015090781,0.00885385,0,0,0
127.9298966,0.002349197,0.013864179,0.008106688,0,0,0
139.4626015,0.003065267,0.01598586,0.009525563,0,0,0
152.0349939,0.003104388,0.013225997,0.008165193,0,0,0
165.7407275,0.00370078,0.014769347,0.009235064,0,0,0
180.682012,0.002911298,0.009636212,0.006273755,0,0,0
196.9701918,0.001821722,0.010511369,0.006166546,0,0,0
214.7267514,0.004088629,0.00854563,0.006317129,0,0,0
234.0840724,0.00115749,0.008582309,0.004869899,0,0,0
255.1864173,0.002037469,0.008712763,0.005375116,0,0,0
278.1910915,0.001233912,0.006126173,0.003680043,0,0,0
303.269631,0.001434722,0.005706347,0.003570535,0,0,0
330.6089691,0.000714126,0.003876411,0.002295269,0,0,0
360.4128593,0.000707012,0.002879216,0.001793114,0,0,0
392.9035467,0.000437426,0.004088146,0.002262786,0,0,0
428.3232557,0.000405484,0.003390581,0.001898032,0,0,0
466.9359927,0.000588081,0.003367622,0.001977852,0,0,0
509.0295863,0.000360754,0.002277412,0.001319083,0,0,0
554.9178462,0.001164524,0.002297498,0.001731011,0,0,0
604.9428525,0.000600044,0.002496904,0.001548474,0,0,0
659.4775578,0.00023171,0.001747813,0.000989761,0,0,0
718.9284856,0.000502628,0.001836191,0.001169409,0,0,0
783.7388681,0.000156582,0.001237534,0.000697058,0,0,0
854.3918142,0.000324266,0.0009797,0.000651983,0,0,0
931.4139742,6.87005E-05,0.003359191,0.001713946,0,0,0
1015.379761,0.000109181,0.000747294,0.000428238,0,0,0
1106.915009,0.000354484,0.000735928,0.000545206,0,0,0
1206.701581,9.14238E-05,0.000414457,0.00025294,0,0,0
1315.483746,0.000104292,0.000743972,0.000424132,0,0,0
1434.072793,7.12413E-05,0.000399094,0.000235168,0,0,0
1563.352383,2.15403E-05,0.000164756,9.31483E-05,0,0,0
1704.286124,5.5985E-06,0.000323657,0.000164628,0,0,0
1857.925008,2.91151E-05,0.000219814,0.000124464,0,0,0
2025.414511,0.000182601,0.000256068,0.000219335,0,0,0
2208.002464,1.88307E-05,0.000113599,6.62147E-05,0,0,0
2407.050547,2.43804E-05,0.000126725,7.55524E-05,0,0,0
2624.042945,0,0.000228032,0.000114016,0,0,0
2860.596622,6.89747E-06,3.25065E-05,1.9702E-05,0,0,0
3118.47542,0,0.000186231,9.31153E-05,0,0,0
3399.601591,4.17574E-06,0.00013103,6.7603E-05,0,0,0
3706.070639,3.31156E-05,8.89966E-05,6.10561E-05,0,0,0
4040.167462,0,8.19244E-05,4.09622E-05,0,0,0
4404.382721,8.09517E-06,2.51357E-07,4.17326E-06,0,0,0
4801.431418,7.31888E-06,3.52753E-05,2.12971E-05,0,0,0
5234.273264,0,2.44731E-05,1.22365E-05,0,0,0
5706.135266,0,1.74677E-06,8.73384E-07,0,0,0
6220.535144,0,0,0,0,0,0
6781.307347,0,1.15701E-05,5.78504E-06,0,0,0
7392.632439,0,0,0,0,0,0
8059.067249,0,1.16178E-05,5.80891E-06,0,0,0
8785.580041,0,7.21258E-06,3.60629E-06,0,0,0
9577.587371,0,2.45763E-05,1.22881E-05,0,0,0