Energy [MeV];Cross-Section [barns]
1.00E-11;1.12E-19
1.10E-11;1.06E-19
1.22E-11;1.01E-19
1.34E-11;9.65E-20
1.48E-11;9.20E-20
1.63E-11;8.76E-20
1.80E-11;8.35E-20
1.99E-11;7.96E-20
2.19E-11;7.58E-20
2.42E-11;7.23E-20
2.67E-11;6.89E-20
2.94E-11;6.57E-20
3.24E-11;6.26E-20
3.58E-11;5.97E-20
3.95E-11;5.70E-20
4.35E-11;5.43E-20
4.80E-11;5.19E-20
5.30E-11;4.95E-20
5.84E-11;4.72E-20
6.44E-11;4.51E-20
7.11E-11;4.31E-20
7.84E-11;4.11E-20
8.65E-11;3.93E-20
9.54E-11;3.76E-20
1.05E-10;3.59E-20
1.16E-10;3.44E-20
1.28E-10;3.29E-20
1.41E-10;3.15E-20
1.56E-10;3.02E-20
1.72E-10;2.89E-20
1.90E-10;2.77E-20
2.09E-10;2.66E-20
2.31E-10;2.56E-20
2.54E-10;2.46E-20
2.81E-10;2.36E-20
3.14E-10;2.26E-20
3.51E-10;2.17E-20
3.93E-10;2.08E-20
4.39E-10;2.00E-20
4.91E-10;1.92E-20
5.50E-10;1.85E-20
6.15E-10;1.79E-20
6.88E-10;1.73E-20
7.80E-10;1.66E-20
8.85E-10;1.61E-20
1.00E-09;1.56E-20
1.14E-09;1.51E-20
1.31E-09;1.46E-20
1.51E-09;1.42E-20
1.73E-09;1.38E-20
2.02E-09;1.34E-20
2.36E-09;1.30E-20
2.79E-09;1.27E-20
3.35E-09;1.24E-20
4.02E-09;1.21E-20
4.89E-09;1.18E-20
6.03E-09;1.15E-20
7.55E-09;1.12E-20
9.58E-09;1.10E-20
1.23E-08;1.07E-20
1.59E-08;1.05E-20
2.01E-08;1.03E-20
2.48E-08;1.02E-20
2.52E-08;1.02E-20
2.53E-08;1.02E-20
3.17E-08;1.01E-20
5.47E-08;1.01E-20
1.65E-07;1.00E-20
2.40E-06;1.00E-20
0.398879;1.00E-20
0.4;1.05E-20
0.411366;6.44E-19
0.493542;5.23E-18
0.5;5.61E-18
0.599882;2.07E-16
0.608345;5.40E-16
0.699831;4.19E-15
0.709704;9.46E-15
0.793874;5.52E-14
0.8;5.85E-14
0.9;6.05E-13
0.992733;4.57E-12
1;4.89E-12
1.19988;1.75E-10
1.2;1.76E-10
1.20212;2.09E-10
1.4;3.38E-09
1.6;3.05E-08
1.8;1.93E-07
2;9.48E-07
2.2;3.88E-06
2.4;1.38E-05
2.6;3.77E-05
2.8;9.48E-05
3;0.000168486
3.2;0.00035754
3.4;0.000690418
3.6;0.00113138
3.8;0.00191234
4;0.00318189
4.2;0.00439632
4.4;0.00634395
4.6;0.00842297
4.8;0.0106644
5;0.0134805
5.2;0.0163898
5.4;0.0191051
5.6;0.0223532
5.8;0.0249489
6;0.0272147
6.2;0.0302022
6.49029;0.0325289
6.6;0.0333717
6.8;0.0372236
7;0.0356713
7.2;0.0422809
7.4;0.0447399
7.6;0.0459991
7.8;0.050815
8;0.0495214
8.5;0.0579232
9;0.0710529
9.70199;0.0807579
10;0.0847764
10.1411;0.0865602
10.2842;0.0883691
10.4292;0.0902036
10.5;0.0910982
10.6481;0.0928019
10.7984;0.0945297
10.9507;0.0962819
11;0.0968488
11.1552;0.0983176
11.3126;0.0998071
11.4722;0.101318
11.5;0.101581
11.6622;0.102555
11.8268;0.103543
11.9936;0.104545
12;0.104583
12.1693;0.104806
12.341;0.105033
12.5;0.105243
12.6764;0.104627
12.8552;0.104002
13;0.103496
13.1834;0.102259
13.3694;0.101006
13.5;0.100125
13.6905;0.0985785
13.8836;0.0970101
14;0.096065
14.1975;0.0938949
14.3978;0.0916941
14.6009;0.0894623
14.8069;0.087199
15;0.0850778
15.2116;0.0826325
15.4262;0.0801528
15.6439;0.077638
15.8646;0.0750878
16;0.073523
16.2257;0.0713314
16.4546;0.069109
16.6868;0.0668551
16.9222;0.0645695
17;0.0638143
17.2398;0.0617619
17.4831;0.0596805
17.7297;0.0575697
17.9799;0.0554292
18;0.0552568
18.2539;0.0536009
18.5115;0.0519217
18.7726;0.0502188
19;0.0487363
19.2681;0.046938
19.5399;0.0451143
19.8156;0.0432649
20;0.0420276
20.2822;0.0405409
20.5683;0.0390332
20.8585;0.0375042
21;0.0367586
21.2963;0.0353945
21.5967;0.0340112
21.9014;0.0326083
22;0.0321544
22.3104;0.0307638
22.6251;0.0293535
22.9443;0.0279234
23;0.027674
23.3245;0.0264448
23.6536;0.0251983
23.9873;0.0239341
24;0.0238859
24.3386;0.0228175
24.682;0.0217339
25;0.0207304
25.3527;0.0198855
25.7104;0.0190286
26;0.0183348
26.3668;0.0175039
26.7388;0.0166613
27;0.0160696
27.3809;0.0152521
27.7672;0.0144231
28;0.0139235
28.395;0.0133081
28.7956;0.012684
29;0.0123656
29.4091;0.0119126
29.824;0.0114533
30;0.0112585